drug_id,drug_name,location,qty_on_hand,expiry_date,batch_lot,safety_stock,avg_daily_use
PROP-20MG-ICU,Propofol 20mg/mL,ICU-Shelf-A,70,2025-06-15,BATCH-P001,50,8.5
PROP-20MG-ER,Propofol 20mg/mL,Emergency-Room-Cabinet,45,2025-08-20,BATCH-P002,50,6.2
PROP-20MG-PH,Propofol 20mg/mL,Pharmacy-Main,120,2025-07-10,BATCH-P003,80,4.0
MORP-10MG-V1,Morphine Sulfate 10mg,Secure-Vault-1,95,2025-09-15,BATCH-M001,40,5.5
MORP-10MG-V2,Morphine Sulfate 10mg,Secure-Vault-2,55,2025-10-05,BATCH-M002,30,3.2
MORP-10MG-ICU,Morphine Sulfate 10mg,ICU-Controlled-Cabinet,40,2025-08-20,BATCH-M003,25,4.8
FENT-50MCG-V1,Fentanyl 50mcg Patch,Secure-Vault-1,80,2025-11-30,BATCH-F001,35,2.5
FENT-50MCG-OR,Fentanyl 50mcg Patch,Operating-Room-Safe,45,2025-09-25,BATCH-F002,25,3.8
AMID-250MG-W1,Amiodarone 250mg,Ward-1-Storage,180,2025-12-15,BATCH-A001,60,12.5
AMID-250MG-W2,Amiodarone 250mg,Ward-2-Storage,95,2025-10-20,BATCH-A002,50,8.0
AMID-250MG-ICU,Amiodarone 250mg,ICU-Shelf-B,120,2025-11-10,BATCH-A003,70,15.0
MIDZ-5MG-ICU,Midazolam 5mg/mL,ICU-Shelf-A,65,2025-07-25,BATCH-MZ001,45,7.2
MIDZ-5MG-ER,Midazolam 5mg/mL,Emergency-Room-Cabinet,50,2025-08-15,BATCH-MZ002,35,5.5
MIDZ-5MG-OR,Midazolam 5mg/mL,Operating-Room-Cabinet,85,2025-09-30,BATCH-MZ003,50,6.8
INSU-100U-FR,Insulin Regular 100U/mL,Pharmacy-Fridge-1,200,2025-05-30,BATCH-I001,100,22.0
INSU-100U-W1,Insulin Regular 100U/mL,Ward-1-Fridge,60,2025-06-15,BATCH-I002,40,15.0
INSU-100U-W2,Insulin Regular 100U/mL,Ward-2-Fridge,45,2025-07-01,BATCH-I003,40,12.5
INSU-100U-ICU,Insulin Regular 100U/mL,ICU-Fridge,80,2025-06-20,BATCH-I004,50,18.0
HEPA-5K-PH,Heparin 5000U/mL,Pharmacy-Main,350,2025-12-01,BATCH-H001,150,28.0
HEPA-5K-ICU,Heparin 5000U/mL,ICU-Shelf-A,120,2025-10-15,BATCH-H002,80,18.5
HEPA-5K-ER,Heparin 5000U/mL,Emergency-Room-Cabinet,85,2025-11-20,BATCH-H003,60,12.0
EPIC-1MG-ER,Epinephrine 1mg/mL,Emergency-Room-Crash-Cart,50,2025-08-10,BATCH-E001,30,2.5
EPIC-1MG-ICU,Epinephrine 1mg/mL,ICU-Crash-Cart,45,2025-09-05,BATCH-E002,25,2.0
EPIC-1MG-OR,Epinephrine 1mg/mL,Operating-Room-Emergency,40,2025-07-20,BATCH-E003,20,1.5
AMOX-500MG-PH,Amoxicillin 500mg,Pharmacy-Main,500,2026-03-15,BATCH-AX001,200,35.0
AMOX-500MG-W1,Amoxicillin 500mg,Ward-1-Storage,150,2026-01-20,BATCH-AX002,80,28.0
AMOX-500MG-W2,Amoxicillin 500mg,Ward-2-Storage,120,2025-12-10,BATCH-AX003,80,25.0
AMOX-500MG-W3,Amoxicillin 500mg,Ward-3-Storage,95,2026-02-28,BATCH-AX004,60,20.0
CIPR-500MG-PH,Ciprofloxacin 500mg,Pharmacy-Main,280,2026-04-20,BATCH-C001,120,18.0
CIPR-500MG-W1,Ciprofloxacin 500mg,Ward-1-Storage,85,2026-02-15,BATCH-C002,50,12.0
CIPR-500MG-ICU,Ciprofloxacin 500mg,ICU-Shelf-B,65,2026-01-30,BATCH-C003,40,8.5
METR-500MG-PH,Metronidazole 500mg,Pharmacy-Main,320,2026-05-10,BATCH-MT001,150,22.0
METR-500MG-W2,Metronidazole 500mg,Ward-2-Storage,90,2026-03-25,BATCH-MT002,60,15.0
VANCO-1G-PH,Vancomycin 1g,Pharmacy-Main,180,2026-06-30,BATCH-V001,80,10.0
VANCO-1G-ICU,Vancomycin 1g,ICU-Shelf-B,45,2026-04-15,BATCH-V002,30,6.5
CEFT-1G-PH,Ceftriaxone 1g,Pharmacy-Main,250,2026-07-20,BATCH-CF001,100,15.0
CEFT-1G-ER,Ceftriaxone 1g,Emergency-Room-Cabinet,70,2026-05-10,BATCH-CF002,40,9.0
CEFT-1G-ICU,Ceftriaxone 1g,ICU-Shelf-A,55,2026-06-05,BATCH-CF003,35,7.5
DIAZ-10MG-V1,Diazepam 10mg,Secure-Vault-1,120,2025-10-30,BATCH-D001,50,4.2
DIAZ-10MG-ER,Diazepam 10mg,Emergency-Room-Controlled,40,2025-11-15,BATCH-D002,25,3.5
LORAZ-2MG-V1,Lorazepam 2mg,Secure-Vault-1,95,2025-12-20,BATCH-L001,40,3.8
LORAZ-2MG-ICU,Lorazepam 2mg,ICU-Controlled-Cabinet,35,2026-01-10,BATCH-L002,20,2.5
ATOR-40MG-PH,Atorvastatin 40mg,Pharmacy-Main,800,2026-08-15,BATCH-AT001,300,45.0
ATOR-40MG-W1,Atorvastatin 40mg,Ward-1-Storage,200,2026-06-20,BATCH-AT002,100,32.0
ATOR-40MG-W2,Atorvastatin 40mg,Ward-2-Storage,180,2026-07-10,BATCH-AT003,100,28.0
METP-50MG-PH,Metoprolol 50mg,Pharmacy-Main,600,2026-09-30,BATCH-MP001,250,38.0
METP-50MG-W1,Metoprolol 50mg,Ward-1-Storage,150,2026-07-25,BATCH-MP002,80,25.0
METP-50MG-ICU,Metoprolol 50mg,ICU-Shelf-B,100,2026-08-15,BATCH-MP003,60,18.0
LISIN-10MG-PH,Lisinopril 10mg,Pharmacy-Main,700,2026-10-20,BATCH-LS001,280,42.0
LISIN-10MG-W1,Lisinopril 10mg,Ward-1-Storage,180,2026-08-30,BATCH-LS002,90,30.0
LISIN-10MG-W2,Lisinopril 10mg,Ward-2-Storage,160,2026-09-15,BATCH-LS003,80,28.0
OMEP-20MG-PH,Omeprazole 20mg,Pharmacy-Main,450,2026-11-10,BATCH-OM001,180,32.0
OMEP-20MG-W1,Omeprazole 20mg,Ward-1-Storage,120,2026-09-25,BATCH-OM002,60,22.0
OMEP-20MG-ICU,Omeprazole 20mg,ICU-Shelf-A,85,2026-10-05,BATCH-OM003,50,15.0
PANT-40MG-PH,Pantoprazole 40mg,Pharmacy-Main,380,2026-12-15,BATCH-PA001,150,28.0
PANT-40MG-ER,Pantoprazole 40mg,Emergency-Room-Cabinet,65,2026-10-30,BATCH-PA002,40,10.0
DOPA-200MG-ICU,Dopamine 200mg/5mL,ICU-Shelf-A,90,2025-09-10,BATCH-DO001,50,8.0
DOPA-200MG-ER,Dopamine 200mg/5mL,Emergency-Room-Cabinet,45,2025-10-05,BATCH-DO002,30,5.5
DOBU-250MG-ICU,Dobutamine 250mg/20mL,ICU-Shelf-A,75,2025-11-20,BATCH-DB001,40,6.5
NORE-4MG-ICU,Norepinephrine 4mg/4mL,ICU-Shelf-A,60,2025-08-25,BATCH-NE001,35,5.0
NORE-4MG-ER,Norepinephrine 4mg/4mL,Emergency-Room-Cabinet,40,2025-09-15,BATCH-NE002,25,3.5
KETA-500MG-OR,Ketamine 500mg/10mL,Operating-Room-Safe,55,2025-12-10,BATCH-K001,30,2.8
KETA-500MG-ER,Ketamine 500mg/10mL,Emergency-Room-Controlled,30,2025-11-25,BATCH-K002,20,2.2
REMI-5MG-OR,Remifentanil 5mg,Operating-Room-Safe,40,2025-10-15,BATCH-R001,25,3.5
SUXA-200MG-OR,Succinylcholine 200mg/10mL,Operating-Room-Emergency,35,2025-08-30,BATCH-SX001,20,2.0
ROCU-50MG-OR,Rocuronium 50mg/5mL,Operating-Room-Cabinet,60,2025-11-05,BATCH-RC001,35,4.2
VECU-10MG-OR,Vecuronium 10mg,Operating-Room-Cabinet,45,2025-12-20,BATCH-VC001,25,3.0
NEOST-2.5MG-OR,Neostigmine 2.5mg,Operating-Room-Cabinet,50,2026-01-15,BATCH-NS001,30,2.5
ATRO-0.5MG-OR,Atropine 0.5mg,Operating-Room-Cabinet,70,2025-10-25,BATCH-AT001,40,3.8
ATRO-0.5MG-ER,Atropine 0.5mg,Emergency-Room-Crash-Cart,40,2025-11-10,BATCH-AT002,25,2.5
ADENO-6MG-ER,Adenosine 6mg/2mL,Emergency-Room-Crash-Cart,25,2025-09-20,BATCH-AD001,15,1.2
AMIO-150MG-ER,Amiodarone 150mg/3mL IV,Emergency-Room-Crash-Cart,35,2025-10-30,BATCH-AM001,20,2.0
NALOX-0.4MG-ER,Naloxone 0.4mg,Emergency-Room-Cabinet,60,2025-12-05,BATCH-NX001,35,4.5
NALOX-0.4MG-ICU,Naloxone 0.4mg,ICU-Controlled-Cabinet,40,2026-01-10,BATCH-NX002,25,3.0
FLUM-0.5MG-ER,Flumazenil 0.5mg,Emergency-Room-Cabinet,30,2025-11-15,BATCH-FL001,18,1.5
MAGNE-2G-ER,Magnesium Sulfate 2g,Emergency-Room-Cabinet,80,2026-02-28,BATCH-MG001,45,6.0
MAGNE-2G-ICU,Magnesium Sulfate 2g,ICU-Shelf-B,55,2026-01-20,BATCH-MG002,35,4.5
CALC-1G-ER,Calcium Gluconate 1g,Emergency-Room-Cabinet,65,2026-03-15,BATCH-CG001,40,5.0
CALC-1G-ICU,Calcium Gluconate 1g,ICU-Shelf-A,45,2026-02-10,BATCH-CG002,30,3.8
POTA-20MEQ-PH,Potassium Chloride 20mEq,Pharmacy-Main,250,2026-06-30,BATCH-KCL001,120,18.0
POTA-20MEQ-ICU,Potassium Chloride 20mEq,ICU-Shelf-B,85,2026-04-15,BATCH-KCL002,50,12.0
SODI-0.9-PH,Normal Saline 0.9% 1L,Pharmacy-Main,500,2026-12-31,BATCH-NS001,200,55.0
SODI-0.9-W1,Normal Saline 0.9% 1L,Ward-1-Storage,150,2026-10-15,BATCH-NS002,80,35.0
