txnId,timestamp,empId,drugName,location,txnType,quantityChange,qtyBefore,qtyAfter,batchLot,reason,approvedBy
TXN001,2025-01-21 14:30,P001,Propofol,ICU-Shelf-A,DISPENSED,-10,80,70,BATCH-001,Surgical procedure,P001
TXN002,2025-01-21 14:15,N003,Morphine Sulfate,Secure-Vault-1,DISPENSED,-5,100,95,MOR-2024-001,Pain management,P001
TXN003,2025-01-21 14:00,P002,Paracetamol,Ward-A-Med-Room,DISPENSED,-50,500,450,PARA-2025-001,Ward rounds,P002
TXN004,2025-01-21 13:45,N001,Normal Saline 0.9%,ER-IV-Storage,DISPENSED,-15,285,270,NS-2025-003,ER admissions,P002
TXN005,2025-01-21 13:30,P001,Amoxicillin,Pharmacy-Main,RECEIVED,500,200,700,AMOX-2025-002,Stock replenishment,M001
TXN006,2025-01-21 13:15,N005,Insulin Regular,Fridge-1,DISPENSED,-8,50,42,INS-R-2024-012,Diabetic patients,P003
TXN007,2025-01-21 13:00,P003,Fentanyl,Secure-Vault-2,DISPENSED,-2,48,46,FEN-2024-008,Post-op analgesia,P003
TXN008,2025-01-21 12:45,N002,Ceftriaxone,ICU-Shelf-B,DISPENSED,-6,64,58,CEFT-2025-001,Antibiotic therapy,P001
TXN009,2025-01-21 12:30,P002,Heparin,ER-Cabinet-B,DISPENSED,-12,57,45,HEP-2025-002,DVT prophylaxis,P002
TXN010,2025-01-21 12:15,N004,Dextrose 5%,Ward-B-Med-Room,DISPENSED,-20,370,350,D5-2025-004,IV therapy,P002
TXN011,2025-01-21 12:00,P001,Oxycodone,Secure-Vault-1,DISPENSED,-3,33,30,OXY-2024-005,Chronic pain,P001
TXN012,2025-01-21 11:45,N006,Metronidazole,Pharmacy-Main,DISPENSED,-15,235,220,METRO-2025-001,Infection control,P003
TXN013,2025-01-21 11:30,P004,Levothyroxine,Ward-A-Med-Room,DISPENSED,-10,140,130,LEVO-2025-001,Thyroid therapy,P004
TXN014,2025-01-21 11:15,N007,Aspirin,ER-Cabinet-B,DISPENSED,-25,575,550,ASP-2025-002,Cardiac care,P002
TXN015,2025-01-21 11:00,P001,Midazolam,Secure-Vault-2,DISPENSED,-4,44,40,MID-2024-009,Sedation,P001
TXN016,2025-01-21 10:45,N003,Furosemide,ICU-Shelf-A,DISPENSED,-8,82,74,FUR-2025-001,Diuretic therapy,P001
TXN017,2025-01-21 10:30,P005,Vancomycin,Pharmacy-Fridge,DISPENSED,-3,27,24,VANC-2024-008,MRSA treatment,P005
TXN018,2025-01-21 10:15,N001,Ondansetron,Ward-B-Med-Room,DISPENSED,-12,88,76,OND-2025-001,Antiemetic,P002
TXN019,2025-01-21 10:00,P002,Atorvastatin,Pharmacy-Main,DISPENSED,-20,280,260,ATOR-2025-002,Cholesterol mgmt,P002
TXN020,2025-01-21 09:45,N008,Metformin,Ward-A-Med-Room,DISPENSED,-18,318,300,MET-2025-003,Diabetes control,P004
TXN021,2025-01-21 09:30,P001,Propofol,ER-Cabinet-B,ADJUSTED,-10,55,45,BATCH-002,Expired units removed,M001
TXN022,2025-01-21 09:15,N002,Ketamine,Secure-Vault-2,DISPENSED,-2,22,20,KET-2024-006,Anesthesia,P001
TXN023,2025-01-21 09:00,P003,Pantoprazole,ICU-Shelf-B,DISPENSED,-15,65,50,PANTO-2025-001,GI prophylaxis,P003
TXN024,2025-01-21 08:45,N005,Lisinopril,Ward-B-Med-Room,DISPENSED,-14,164,150,LIS-2025-002,Hypertension,P002
